Harvests;Plots;Replicates;Hybrids;yd;wb
Yr1;1171;1;H117;14.54666667;0
Yr1;1172;2;H117;28.84666667;0
Yr1;1173;3;H117;24.72333333;0
Yr1;1174;4;H117;13.70666667;0
Yr1;1175;5;H117;46.28333333;0
Yr1;1176;6;H117;16.34;0
Yr1;1177;7;H117;16.27333333;0
Yr1;1178;8;H117;17.22666667;0
Yr1;1179;9;H117;32.83333333;0
Yr1;1181;1;H118;26.40333333;0
Yr1;1182;2;H118;7.506666667;0
Yr1;1183;3;H118;15.88333333;0
Yr1;1184;4;H118;30.96333333;0
Yr1;1185;5;H118;11.07333333;0
Yr1;1186;6;H118;17.99;0
Yr1;1187;7;H118;16.11333333;0
Yr1;1188;8;H118;10.34;0
Yr1;1189;9;H118;15.35666667;0
Yr1;1201;1;H120;16.84333333;0
Yr1;1202;2;H120;10.59;0
Yr1;1203;3;H120;25.96333333;0
Yr1;1204;4;H120;20.22;0
Yr1;1205;5;H120;18.56333333;0
Yr1;1211;1;H121;12.95333333;0
Yr1;1212;2;H121;13.96333333;0
Yr1;1213;3;H121;29.63;0
Yr1;1214;4;H121;19.67333333;0
Yr1;1215;5;H121;5.93;0
Yr1;1216;6;H121;10.6;0
Yr1;1217;7;H121;15.86;0
Yr1;1218;8;H121;18.33666667;0
Yr1;1219;9;H121;16.96666667;0
Yr1;1231;1;H123;17.03666667;0
Yr1;1232;2;H123;9.586666667;0
Yr1;1233;3;H123;3.856666667;0
Yr1;1234;4;H123;15.44666667;0
Yr1;1235;5;H123;6.316666667;0
Yr1;1236;6;H123;16.56;0
Yr1;1237;7;H123;15.10666667;0
Yr1;1238;8;H123;8.026666667;0
Yr1;1239;9;H123;5.24;0
Yr1;1241;1;H124;8.193333333;0
Yr1;1242;2;H124;13.67;0
Yr1;1243;3;H124;22.67333333;0
Yr1;1244;4;H124;12.31333333;0
Yr1;1245;5;H124;17.06666667;0
Yr1;1246;6;H124;19.99333333;0
Yr1;1247;7;H124;10.42666667;0
Yr1;1248;8;H124;13.44666667;0
Yr1;1249;9;H124;9.406666667;0
Yr1;1256;6;H125;31.70333333;0
Yr1;1257;7;H125;19.40333333;0
Yr1;1258;8;H125;23.68333333;0
Yr1;1259;9;H125;14.31666667;0
Yr1;1266;6;H126;8.433333333;0
Yr1;1267;7;H126;9.15;0
Yr1;1268;8;H126;6.963333333;0
Yr1;1269;9;H126;11.4;0
Yr1;1271;1;H127;25.99666667;0
Yr1;1272;2;H127;11.55666667;0
Yr1;1273;3;H127;29.53333333;0
Yr1;1274;4;H127;17.57333333;0
Yr1;1275;5;H127;13.98666667;0
Yr1;1276;6;H127;11.49666667;0
Yr1;1277;7;H127;11.13333333;0
Yr1;1278;8;H127;17;0
Yr1;1279;9;H127;32.94666667;0
Yr1;1281;1;H128;11.03666667;0
Yr1;1282;2;H128;15.19333333;0
Yr1;1283;3;H128;8.506666667;0
Yr1;1284;4;H128;3.64;0
Yr1;1285;5;H128;9.68;0
Yr1;1291;1;H129;21.91333333;0
Yr1;1292;2;H129;28.96666667;0
Yr1;1293;3;H129;14.12333333;0
Yr1;1294;4;H129;24.8;0
Yr1;1295;5;H129;25.33333333;0
Yr1;1301;1;H130;18.19666667;0
Yr1;1302;2;H130;11;0
Yr1;1303;3;H130;23.06666667;0
Yr1;1304;4;H130;19;0
Yr1;1305;5;H130;14.16;0
Yr1;1306;6;H130;21.09;0
Yr1;1307;7;H130;15.85;0
Yr1;1308;8;H130;15.72;0
Yr1;1309;9;H130;14.98;0
Yr1;1311;1;H131;23.7;0
Yr1;1312;2;H131;24.26333333;0
Yr1;1313;3;H131;19.05666667;0
Yr1;1314;4;H131;17.53333333;0
Yr1;1315;5;H131;25.12;0
Yr1;1316;6;H131;19.70666667;0
Yr1;1317;7;H131;12.38;0
